location,size,society,total_sqft,bath,balcony,price
Sneha Colony,2,Daill S,1260,2,2,45
RMV Extension,3,DSureSi,1630,3,2,85
Sarjapur  Road,3,Soini T,1249,3,2,44.71
Kalena Agrahara,3,MancyRe,1450,2,3,85
Konanakunte,3,Prasa W,2791,3,1,223
Hosapalya,1,,600,1,0,90
Ashwini layout,1,Kaantth,834,1,1,60
Gandhi Bazar,6,,1020,6,1,370
Arekere,3,,2060,3,2,140
Malleshwaram,7,,12000,7,3,2200
Gottigere,2,Drente ,891,2,1,25
Raja Rajeshwari Nagar,2,GrrvaGr,1133,2,1,49.07
Bisuvanahalli,3,Prityel,1075,2,1,37
Sector 6 HSR Layout,4,,3000,5,2,260
Gandhi Bazar,6,,1020,6,1,370
Vidyaranyapura,2,,1200,2,2,55
Thanisandra,2,,1075,2,2,45.8
Kaggadasapura,2,,1140,2,2,40
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Raja Rajeshwari Nagar,2,SGandea,1090,2,1,42
Gandhi Bazar,6,,1020,6,1,370
Whitefield,4,,4104,4,2,360
Whitefield,3,,1790,3,2,100
Hebbal,3,Mahosya,1920,3,2,134
HRBR Layout,2,Eline P,1374,2,2,95
Bannerghatta Road,3,,1445,3,2,95
Kanakapura,1,GoityEt,711,1,1,36
Tumkur Road,3,SosonGa,1500,3,3,95
Whitefield,3,Gotis A,1720,3,3,100
Vasanthapura,3,,1400,3,2,60
Kundalahalli,2,,1030,2,2,49
Mysore Road,2,PrntaEn,1200,2,1,85
Hosahalli,3,NSezeBr,1375,3,2,70
Gandhi Bazar,6,,1020,6,1,370
Jalahalli,3,Tahtsla,2250,3,2,160
Bellandur,2,Sronda ,1000,2,2,50
Jalahalli West,1,Prntsax,469,1,0,25
Marathahalli,4,PueraRi,3800,4,3,250
Kambipura,2,Prrtht ,883,2,1,29
GM Palaya,3,Chnts A,1820,2,3,86
Singasandra,3,,1440,2,3,65
near Ramanashree California resort,6,,3600,4,1,160
Malleshwaram,4,GaityEt,2500,5,2,325
Mahadevpura,2,,1225,2,2,48
Gandhi Bazar,6,,1020,6,1,370
Chikkalasandra,2,,875,2,3,52.8
Jalahalli East,1,ShshaSa,750,1,2,40
6th Phase JP Nagar,2,,1180,2,3,80
Haralur Road,2,,1194,2,2,47
Hennur Road,3,,1500,2,2,62
Poornapragna Housing Society Layout,2,,1160,2,2,52.2
Hosakerehalli,3,Taonte ,2378,3,1,262
Sarjapur,2,Ahownve,1128,2,1,60
Hebbal,3,Cevely ,1500,3,1,150
Huskur,3,,1220,2,1,35.23
Sarjapur  Road,2,,1210,2,2,58
Kanakpura Road,3,PrarePa,1100,2,1,58
Bommasandra,3,Vaodspe,1200,3,2,46
Haralur Road,4,SNnia E,3385,5,2,260
Nagondanahalli,3,DSldsen,1641,3,2,66
Horamavu Agara,2,,1200,2,1,45
Raja Rajeshwari Nagar,2,NaonySy,1260,2,1,67.39
Mahadevpura,3,,1720,3,3,78
Yelahanka,2,Pyikad ,1210,2,1,45.98
Gandhi Bazar,6,,1020,6,1,370
Bisuvanahalli,3,Prityel,1075,2,1,45
Thanisandra,3,Soitya ,1702,3,2,130
Shanthala Nagar,2,Malex C,1630,2,2,200
Raja Rajeshwari Nagar,2,GrrvaGr,1141,2,2,38.55
Shantiniketan Layout,3,,2072,3,2,108
Gandhi Bazar,6,,1020,6,1,370
Teachers Colony,3,,1350,3,0,77
Srinivasa Nagar,3,,1180,2,2,78.34
Yelahanka,3,Edreelm,35000,3,3,130
Langford Town,2,,1355,2,2,115
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Bannerghatta Road,3,,1640,2,1,120
Gandhi Bazar,6,,1020,6,1,370
Kodichikkanahalli,3,,1190,2,2,57
Gandhi Bazar,6,,1020,6,1,370
Marathahalli,2,,1019,2,2,49.85
Ambedkar Colony,3,RMcesa ,1875,3,2,165
Akshaya Nagar,3,,1250,3,2,40
Gandhi Bazar,6,,1020,6,1,370
Whitefield,2,PaantPl,1140,2,1,56
Lingadheeranahalli,3,Soiewre,1683,3,1,109
Kaggadasapura,3,Golmsoy,1515,3,1,83.3
Hoodi,4,Caycend,2118,4,2,111
Gandhi Bazar,6,,1020,6,1,370
Varthur Road,2,,1083,2,2,61.75
Gandhi Bazar,6,,1020,6,1,370
Avalahalli,3,Sohea A,2300,3,3,120
Prakruthi Nagar,2,MSvelek,1240,2,2,60
Surabhi Layout,3,VDdonel,1750,3,1,120
Sadaramangala,2,,1230,2,1,43.48
Gandhi Bazar,6,,1020,6,1,370
Abbigere,2,SLtias ,985,2,1,40.39
Gandhi Bazar,6,,1020,6,1,370
Electronic City,2,,1125,2,1,32.49
Maruthi Sevanagar,2,SMikaay,950,2,1,44
Kothanur,3,,1580,3,3,76
Gandhi Bazar,6,,1020,6,1,370
Electronic City Phase II,2,Sryalan,1090,2,1,28.34
Gandhi Bazar,6,,1020,6,1,370
Dommasandra,3,,1033,2,2,25.53
Kammasandra,2,Prony S,810,2,2,24.5
Green Garden Layout,2,PaisePa,1045,2,0,45
Hebbal,2,Arcia S,1337,2,1,82
Chandapura,2,,1200,2,2,32
Koramangala,3,TealeRo,1580,3,2,160
Begur Road,3,Dhalsh ,1500,2,3,54
Whitefield,3,Umods W,1640,4,2,91
Silver Springs Layout,3,SSarlPe,1570,3,2,62
Gubbalala,3,MauilTr,1470,2,2,82
Kengeri,2,,1160,2,2,40.61
7th Phase JP Nagar,2,Brnia G,1050,2,1,71
Dairy Circle,3,Soeurri,1855,3,1,225
Bannerghatta Road,3,SNity S,1460,2,1,90
Hulimavu,3,,1823,3,2,100
Electronic City,2,Daives ,1094,2,2,42
Budigere,2,PrityTr,1153,2,2,57
Hoysalanagar,3,PNncysi,1325,3,1,57
Gandhi Bazar,6,,1020,6,1,370
Jakkur,3,Socon Z,1590,2,2,125
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Narayana Nagar 1st Block,2,Krite D,1202,2,1,48
Haralur Road,2,,1202,2,1,53
KSRTC Layout,2,Srisei ,1200,2,3,62.5
Panathur,3,Prcesvy,1688,3,1,118
Kaval Byrasandra,2,Soestrn,1020,2,1,52
Sarjapur,2,Coa 3t ,1185,2,2,47
Ramagondanahalli,2,ViistLa,1235,2,1,52.04
Hosakerehalli,4,Taonte ,3205,5,1,500
Banashankari,2,,1077,2,2,37.64
Kengeri Satellite Town,3,MB-laan,1415,2,3,66
EPIP Zone,3,BrontLa,2330,3,2,162
Whitefield,2,JahanSa,805,2,2,35
P&T Colony,1,,425,1,0,20.03
Whitefield,2,DNlleks,1155,2,3,59.95
Cunningham Road,4,,5270,4,3,1250
Anekal,2,,656,2,1,22
New Gurappana Palya,2,Alncy R,1100,2,0,48
Mahadevpura,2,,1150,2,3,52
Gandhi Bazar,6,,1020,6,1,370
Ambedkar Colony,2,RMcesa ,1468,2,1,140
Gandhi Bazar,6,,1020,6,1,370
Whitefield,3,Prtates,2280,4,2,126
Hegde Nagar,2,Soiniy ,1341,2,1,97
Jakkur,2,,1279,2,1,77
Electronic City Phase II,4,SNbay G,2225,4,0,98.88
Thanisandra,2,MenueNo,1185,2,2,43.51
Vadarpalya,3,VMianri,1750,3,2,85
Kudlu,2,GKityel,1152,2,1,53.5
Gandhi Bazar,6,,1020,6,1,370
Hulimavu,2,Jaise P,1300,2,3,36
Gandhi Bazar,6,,1020,6,1,370
5th Phase JP Nagar,2,,1070,2,2,39
Uttarahalli,2,Siayayo,1101,2,0,45
V.V Puram,2,,775,2,1,55
Yeshwanthpur,1,IBityin,667,1,1,36.85
Electronic City,2,GMown E,1070,2,1,55
Old Airport Road,3,Trnce A,1875,2,2,110
Kundalahalli,2,Dieldli,735,2,1,57.99
Gandhi Bazar,6,,1020,6,1,370
Koramangala,3,,1750,3,2,130
Marathahalli,2,PuilaMi,1215,2,1,67
Gandhi Bazar,6,,1020,6,1,370
Vishwapriya Layout,2,Prodsth,820,2,1,30
Battarahalli,3,PaontWa,1779,3,2,89.61
HMT Layout,2,HMRWAyo,1105,2,2,58
Whitefield,3,UKkente,1650,3,2,60
Jalahalli,2,Tahtsla,1694,2,2,150
Hosakerehalli,3,Taonte ,2376,3,1,203
Cox Town,3,,1975,3,3,150
Kammasandra,2,Icingpy,674,2,1,33
Kaggadasapura,2,SLireap,1185,2,1,41
Gandhi Bazar,6,,1020,6,1,370
HSR Layout,3,,1475,3,2,75
Gottigere,3,Sklls C,1618,3,3,82.5
Koramangala,2,Vaanda ,1120,2,0,65
Marathahalli,4,Sutte C,2181,3,2,152
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Bannerghatta Road,3,DSnjh S,1556,2,1,59.13
Bannerghatta Road,2,Hiatei ,1179,2,1,66.02
Thanisandra,2,Bhmesy ,1296,2,2,83
Kaggadasapura,2,VSomepi,1275,2,2,52
Gandhi Bazar,6,,1020,6,1,370
Kathriguppe,3,,1400,2,2,77
Gottigere,2,Krryll ,1222,2,1,63
Electronic City,2,Palleon,940,2,1,41
Thanisandra,2,MenueNo,1185,2,2,42.6
Tumkur Road,3,Soite E,1779,3,2,112
Begur Road,3,Dhalsh ,1615,3,2,59.76
Haralur Road,2,Zostaa ,1056,2,1,61
7th Phase JP Nagar,2,,1100,2,0,46
Arekere,2,Prdowth,920,2,1,40
ITI Layout,3,BMityre,1602,2,0,75
Padmanabhanagar,2,,1176,2,0,62
Gandhi Bazar,6,,1020,6,1,370
Richmond Town,3,,1352,3,0,135
Kasavanhalli,3,HMonymp,1717,3,3,99
Gandhi Bazar,6,,1020,6,1,370
Bhoganhalli,4,Rosha I,2119,4,3,111
Vittasandra,2,Prlla C,1246,2,1,67.3
Anandapura,2,ViensRK,1141,2,1,42.79
Hennur Road,2,,1157,2,1,84
Chandapura,2,SuVue S,1025,2,2,27.68
Yelahanka New Town,1,KHatsFl,650,1,2,33
Hebbal,2,Prersis,1349,2,1,98
Narayanapura,3,Veodsar,1566,3,1,83.3
Sahakara Nagar,4,OsrdsOr,2830,3,3,195
Electronic City,3,,1320,2,1,38.13
manyata park,3,,1780,3,1,84.83
Varthur,2,Hirio L,1091,2,1,34.9
Rachenahalli,4,Leino C,3670,4,3,300
7th Phase JP Nagar,2,,918,2,1,50.49
Yeshwanthpur,4,Detat H,1950,4,0,130
Panathur,3,,1695,3,1,90
Yelahanka,3,Shana S,1705,3,2,95
Kalyan nagar,3,Disical,1375,3,2,75
Kanakpura Road,1,PrarePa,525,1,1,30
Whitefield,2,,1447,2,1,83
Thanisandra,2,SLaceda,1114,2,1,39
7th Phase JP Nagar,3,Brsiaen,1450,2,1,100
Belathur,2,,460,1,0,15
Vasanthapura,2,,1022,2,2,40
Hebbal,2,Ratlet ,1000,2,2,45
Electronic City,2,Prarkun,1128,2,1,68.75
Kanakpura Road,2,Wiowsri,1180,2,2,57
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Sadashiva Nagar,3,,3761,3,2,660
Kanakpura Road,2,PuandHi,1339,2,3,75
Yelachenahalli,3,,1400,2,3,55
7th Phase JP Nagar,2,SrncyRe,1040,2,1,39.52
Kadugodi,2,,1198,2,2,58
Gandhi Bazar,6,,1020,6,1,370
Sarjapur  Road,3,Klark L,1691,3,2,113
Bisuvanahalli,3,Prityel,1075,3,2,36
1st Block Jayanagar,3,,1630,3,2,194
8th Phase JP Nagar,3,,1240,3,2,43.5
Mallasandra,3,Puestig,1665,3,2,86.58
Marathahalli,3,Bintsee,2489,3,2,94
Brookefield,2,Mapleer,1142,2,2,70
Kodbisanhalli,3,Diacee ,1976,3,1,184
Gandhi Bazar,6,,1020,6,1,370
Kothannur,3,,1853,3,2,82
Gandhi Bazar,6,,1020,6,1,370
Kasturi Nagar,2,,1567,2,2,92
Talaghattapura,2,,1090,2,1,27.24
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Electronics City Phase 1,2,Shitt S,1175,2,2,51.47
Subramanyapura,2,DSagax ,1200,2,2,52
Kodichikkanahalli,2,Prs 2hi,995,2,1,41
Magadi Road,2,Vrenty ,884,2,1,41.1
Gandhi Bazar,6,,1020,6,1,370
Yeshwanthpur,2,IBityin,1170,2,2,57
KR Puram,2,LVniaar,1225,2,1,46.55
Electronic City,2,Prarkun,1342,2,1,73.3
Uttarahalli,2,,1345,2,1,67
Kodigehaali,3,Shyas S,1320,3,0,65
Raja Rajeshwari Nagar,2,GrrvaGr,1140,2,1,49.39
Battarahalli,2,Sancy L,1300,2,1,50
Hosa Road,3,,1652,3,2,85
Thigalarapalya,3,Prtanha,2072,4,2,142
Arekere,3,,1740,2,2,95
Electronic City,3,GMown E,1360,2,1,71
Hosur Road,3,Sueneu ,1145,2,2,60
Uttarahalli,3,Laihai ,1540,2,0,40
Sarjapur  Road,2,Adeatlm,1278,2,2,95
Electronic City Phase II,1,SNbay G,630,1,1,40
Kanakpura Road,3,PrarePa,1100,3,2,58
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Chandapura,2,SunceEs,1015,2,2,25.88
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Gunjur,3,,1356,2,3,66
Hennagara,2,,823,2,1,28
Gandhi Bazar,6,,1020,6,1,370
Ramamurthy Nagar,2,,1050,2,0,37
Ferrar Nagar,2,Leton A,1180,2,1,69
Whitefield,2,Sonviik,1116,2,3,51.91
7th Phase JP Nagar,2,SrncyRe,1070,2,1,42.79
Varthur,2,Uptusol,1385,2,3,80
Gandhi Bazar,6,,1020,6,1,370
Whitefield,3,,1897,3,2,130
Magadi Road,2,Vrenty ,1005,2,1,55.78
Green Glen Layout,3,Soinequ,1575,3,2,125
Subramanyapura,2,Mayne A,975,2,1,65
Hennur Road,3,SaireSa,1904,3,2,120
Kengeri Satellite Town,1,,930,1,1,30
Kanakpura Road,1,PrarePa,525,1,1,26
BAGUR,1,,686,1,1,17
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Harlur,2,Prncyrn,1174,2,1,69
Gandhi Bazar,6,,1020,6,1,370
Whitefield,3,UKe 2nz,2225,2,1,125
M.G Road,2,SontsAp,1250,2,0,200
Jigani,2,DLhtsan,918,2,2,52
Mahadevpura,2,,1250,2,3,52
Sarjapur  Road,3,Maantr ,1800,3,3,110
Marathahalli,2,Foodasa,1170,2,3,53
Byatarayanapura,1,,1300,1,0,200
Bannerghatta Road,2,,793,2,1,45
Jakkur,3,BrdgeNo,1710,3,2,107
Kambipura,3,Prrtht ,1082,2,1,57.5
Naganathapura,2,,1001,2,2,33.03
Gandhi Bazar,6,,1020,6,1,370
Yelahanka,3,,1590,2,1,54
Basavanagara,3,,2400,2,0,80
Horamavu Banaswadi,3,Asorai ,1554,3,2,55
Bellandur,5,,4239,5,2,423
Gandhi Bazar,6,,1020,6,1,370
Hosa Road,2,Skume R,1045,2,1,98.89
Marathahalli,2,,1019,2,2,49.86
Ambedkar Nagar,3,SoechHa,1935,4,2,130
Uttarahalli,3,,1135,2,2,39.73
Lakshminarayana Pura,3,RothaVa,1680,3,2,150
Hebbal,4,Raard B,2470,5,2,247
1st Phase JP Nagar,4,Prhtsok,2825,4,3,250
Hosakerehalli,3,Taonte ,2480,3,1,330
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Kasavanhalli,3,Ocrda M,1799,3,3,90
Attibele,1,Jae 2hu,400,1,1,11
Kundalahalli,2,Dieldli,1047,2,1,82
Kaverappa Layout,2,Kesomrn,1282,2,2,87
NGR Layout,2,,1020,2,1,45.9
Gandhi Bazar,6,,1020,6,1,370
Whitefield,2,UKe 2nz,1495,2,1,79.5
Gandhi Bazar,6,,1020,6,1,370
Divya Unnathi Layout,3,,1611,2,2,64.44
Koramangala,4,K ncy R,3500,5,2,425
Gandhi Bazar,6,,1020,6,1,370
Sahakara Nagar,3,EsniaGa,1500,2,2,95
Gandhi Bazar,6,,1020,6,1,370
Uttarahalli,3,Laihai ,1540,3,0,50
Hosa Road,3,Pamesy ,1639,3,1,80
Gandhi Bazar,6,,1020,6,1,370
Raja Rajeshwari Nagar,2,GrrvaGr,1303,2,2,55.79
Koramangala,2,K ncy R,1005,1,1,110
Chandapura,3,SunceEs,1305,3,1,33.28
Gandhi Bazar,6,,1020,6,1,370
sapthagiri Layout,2,,1300,1,1,115
Brookefield,3,Saowson,1440,2,3,68
Seegehalli,2,,901,2,1,35.14
Rajaji Nagar,3,Brway G,1725,3,3,200
Sarjapur,3,,900,2,1,42
BEML Layout,2,,1060,2,1,55
NGR Layout,2,,1020,2,1,48.45
Varthur,3,Myple M,1535,3,2,65.99
Alur,1,,530,1,1,20
Haralur Road,3,NRowse ,1464,3,2,56
Devarabisanahalli,2,Spdoren,1350,2,3,80
Sarjapur  Road,2,,1115,2,2,50
Uttarahalli,2,,1175,2,2,47
Whitefield,2,,1113,2,1,62
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Giri Nagar,2,Spanda ,650,2,0,42
Marathahalli,2,,1325,2,2,71.55
Electronics City Phase 1,2,Shelash,950,2,3,31
Jakkur,3,,1396,2,1,86.51
Rachenahalli,2,,1050,2,2,52.07
Thanisandra,3,,1825,3,2,100
7th Phase JP Nagar,2,Vasta C,1190,2,1,49.98
Marathahalli,2,,1220,2,1,56.5
NRI Layout,3,,1565,2,2,75
Hennur Road,3,SaireSa,1891,3,1,109
Sidedahalli,2,,900,2,0,27
Hosa Road,2,Mahesr ,1161,2,1,55.15
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Yeshwanthpur,1,IBityin,665,1,1,36.85
Mysore Road,2,,1175,2,1,73.5
Hoodi,2,Goeur G,1425,2,2,80
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Somasundara Palya,2,Abeesmi,1255,2,2,67
Hegde Nagar,3,SoisoCa,2112.95,4,2,145
Raja Rajeshwari Nagar,1,,600,1,1,22
Haralur Road,3,SNnia E,1810,3,2,100
Indira Nagar,2,,1200,2,2,93
Harlur,2,,1033,2,2,49
ITPL,3,,1548,3,2,89.5
Horamavu Banaswadi,3,,1611,3,3,66
Electronic City Phase II,3,Sryalan,1400,2,1,40.43
Vidyaranyapura,3,Graceik,1485,2,2,67
Gandhi Bazar,6,,1020,6,1,370
Pattandur Agrahara,2,Shvarji,1025,2,1,44.5
Gandhi Bazar,6,,1020,6,1,370
Hallehalli,2,,1225,2,2,53
5th Phase JP Nagar,2,,1256,2,1,62.8
Whitefield,4,ArsiaEx,2268,3,2,163
Kanakpura Road,3,PrarePa,1100,3,2,53
Vadarpalya,2,VMianri,1141,2,0,62
Attibele,1,Jae 1hu,400,1,1,12
Gandhi Bazar,6,,1020,6,1,370
Kattigenahalli,7,,4100,7,0,140
Weavers Colony,1,,15,1,0,30
Raghavendra Nagar,2,,1175,2,2,48.27
Sahakara Nagar,2,,1100,2,1,56
Kanakpura Road,3,Puestol,1843,3,2,95.84
Gandhi Bazar,6,,1020,6,1,370
Horamavu Banaswadi,2,,1460,2,1,80.5
Rachenahalli,3,Sovar S,1530,2,2,74.5
HSR Layout,2,,1467,2,1,55
KR Layout,1,,950,1,1,40
Vittasandra,2,Prlla C,1246,2,1,64.5
Kanakapura,1,GoityEt,711,1,1,38
Haralur Road,2,RInceeg,1194,2,2,46
Babusapalaya,3,ARngsd ,1358,2,1,43.4
Gandhi Bazar,6,,1020,6,1,370
Hoodi,2,Goeur G,1420,2,2,75
Kathriguppe,3,,1250,2,1,68.75
Akshaya Nagar,2,,1280,2,1,58
Nagappa Reddy Layout,2,Gruesaf,1209,2,1,50
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Panathur,3,Saite G,1315,2,1,54.8
Kariyammana Agrahara,3,,1800,3,3,90
Gandhi Bazar,6,,1020,6,1,370
TC Palaya,3,RKncyha,1600,2,2,65
Gandhi Bazar,6,,1020,6,1,370
Suraksha Nagar,3,AritaFe,1563,3,2,52
Whitefield,3,SRidePr,1560,2,2,72
Brookefield,3,Krrbsil,2169,4,2,115
Gandhi Bazar,6,,1020,6,1,370
Rachenahalli,2,,1050,2,2,55.5
Iblur Village,3,Emine P,3235,3,1,235
Gandhi Bazar,6,,1020,6,1,370
HSR Layout,2,NRosete,1140,2,2,46
Gandhi Bazar,6,,1020,6,1,370
Horamavu Agara,3,,1560,3,2,75
JP Nagar,2,Saowsri,1100,2,2,70
Kasavanhalli,3,,1260,2,3,40.32
Hebbal,2,Arcia S,1036,2,1,50
Akshaya Nagar,3,DLhtsnd,1662,3,3,85.1
Yelachenahalli,3,PuontBe,1464,2,3,105
Yelahanka,2,NCowsar,1234,2,2,80
Sarjapur  Road,3,Arldsyo,1403,3,1,55
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Seegehalli,3,,1150,2,2,42.9
Hebbal,4,RMudeat,3900,4,2,410
Gandhi Bazar,6,,1020,6,1,370
Kanakapura,2,,929,2,1,46
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Vasanthapura,2,,1135,2,1,39.73
Basava Nagar,2,Saarea ,1405,2,2,70
Gandhi Bazar,6,,1020,6,1,370
Haralur Road,4,SNnia E,2805,4,3,154
Yeshwanthpur,2,IBityin,1161,2,2,64.08
Kanakpura Road,2,Soena A,1290,2,3,74
Yeshwanthpur,3,IBityin,2557,3,2,141
2nd Block Hrbr Layout,3,Raaden ,1480,3,2,90
Gandhi Bazar,6,,1020,6,1,370
Old Madras Road,3,SheldGr,1350,3,0,54.54
Kadugodi,3,MSingco,1580,2,2,65
Banashankari,3,,1470,2,1,88.64
Ananth Nagar,1,,500,1,1,14
Sarjapur  Road,2,PualeSk,1346,2,1,61.92
Canara Bank Layout,3,,1600,3,3,90
Naganathapura,2,,720,2,1,120
Gandhi Bazar,6,,1020,6,1,370
Basapura,2,RMncy R,1200,2,2,35
Channasandra,3,Pritehi,1340,2,2,48.33
Gandhi Bazar,6,,1020,6,1,370
Jigani,2,DLhtsan,918,2,2,48
Gandhi Bazar,6,,1020,6,1,370
Yelahanka,2,Velas V,1315,2,2,85
Gandhi Bazar,6,,1020,6,1,370
Uttarahalli,3,,1390,2,2,62.55
Uttarahalli,3,Aklia R,1330,2,1,56
Jalahalli,5,BrardCo,3100,4,1,265
Mango Garden Layout,3,Ceral C,1824,3,3,125
7th Phase JP Nagar,3,Brnia G,1420,2,2,96
Gandhi Bazar,6,,1020,6,1,370
Jalahalli East,3,ShshaSa,1260,2,1,60
Hennur Road,3,Orens G,1561,3,2,95
Gandhi Bazar,6,,1020,6,1,370
"Bidere Agarahara, Behind Safal market",2,,1060,2,2,42
Gandhi Bazar,6,,1020,6,1,370
Haralur Road,2,SNnia E,1225,2,1,67.38
Thanisandra,3,Soitya ,2144,3,2,135
Gandhi Bazar,6,,1020,6,1,370
Electronic City,2,Itelaa ,880,2,2,29
Hoodi,3,GoAirej,1639,3,2,110
Thanisandra,3,Pronyt ,1240,2,1,62
Kanakpura Road,2,,1500,2,2,69
Haralur Road,2,RInceeg,1243,2,1,46
Marathahalli,3,Aiitya ,1575,3,1,78
Haralur Road,2,,1027,2,2,44
Kambipura,3,Prrtht ,1082,2,1,56
Konanakunte,3,,1637,3,3,73
Kanakpura Road,3,Puestol,1665,3,2,86.58
Electronic City,2,GoontLa,1265,2,0,56.93
Electronic City,3,KonteiT,1691,2,2,102
Thanisandra,2,SLaceda,1100,2,1,38
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Hosakerehalli,4,Taonte ,3205,5,1,380
Gandhi Bazar,6,,1020,6,1,370
Choodasandra,2,GRhtiru,1115,2,2,50
Mysore Road,2,Brama P,1070,2,1,45
Indira Nagar,2,Aentsbe,1128,2,2,105
Budigere,2,PrityTr,1162,2,1,57
Sai Gardens,2,Alivae ,1339,2,2,55
Mahadevpura,2,Neagar ,1192,2,2,75
Haralur Road,3,DSimaUl,1920,3,1,115
Hennur,2,Shateor,1255,2,1,52.32
Rajaji Nagar,2,ProdsWe,1357,2,1,115
Dodda Kempaiah Layout,3,,1600,3,2,75
Hanumanth Nagar,2,Saersel,1225,2,2,55.11
Gandhi Bazar,6,,1020,6,1,370
Kasturi Nagar,3,,1570,3,3,80
Thanisandra,2,Bhmesy ,1093,2,2,70
Basaveshwara Nagar,3,Suncy R,1865,3,3,145
Gandhi Bazar,6,,1020,6,1,370
Kaikondrahalli,2,Srsica ,1039,2,2,80
Vittasandra,2,Prlla C,1246,2,1,64.5
Whitefield,3,Suent V,1985,3,2,75
Hosakerehalli,3,APncyla,1590,3,3,49
Gandhi Bazar,6,,1020,6,1,370
Electronic City Phase II,2,Assha A,775,2,2,38
RWF West Colony,2,PancyRe,1000,2,1,50
Hebbal Kempapura,3,Goateds,1800,3,2,175
Bommasandra,2,SSestth,1035,2,1,41
Dasarahalli,3,Syonyph,1520,2,1,75
Whitefield,2,BrlisCo,1360,2,1,95
Gandhi Bazar,6,,1020,6,1,370
Kodigehaali,2,Shyas S,1117,2,2,56
Gandhi Bazar,6,,1020,6,1,370
EPIP Zone,2,BrontLa,1330,2,1,92.5
Marathahalli,3,Prionad,1937,3,2,160
Electronic City,2,Prarkun,1128,2,1,65.49
Neeladri Nagar,2,NatisAt,1053,2,1,45
Panathur,2,Prcesvy,1198,2,1,77
Marathahalli,2,Spows M,1152,2,1,56
1st Block Jayanagar,6,,1200,6,2,125
Frazer Town,2,Maentr ,1625,2,1,75
Kundalahalli,3,Dieldli,1397,3,3,105
Yeshwanthpur,3,Saade E,1523,3,3,170
Kambipura,2,Prrtht ,883,2,1,45
Kaggalipura,1,Baowsig,700,1,0,38
Yelahanka,2,Neite T,1170,2,1,62.5
Kanakpura Road,3,Shiew T,1200,2,2,42
Manayata Tech Park,3,,2400,3,2,170
Kullappa Colony,2,,1480,2,2,65
Akshaya Nagar,3,DLhtsnd,1897,3,2,120
Rachenahalli,2,,996,2,1,67
Haralur Road,3,SNnia E,1875,3,2,110
Williams Town,3,,1500,2,2,98
Jaya Nagar East,3,Maens G,3095,3,3,350
Ambalipura,3,SJarkte,1390,2,1,175
Yelahanka,1,Prensya,697,1,0,45
Sarjapur  Road,1,Shthi S,710,1,1,27
Iggalur,2,VaoldMa,910,2,1,30.5
Sompura,3,Suiseit,1025,2,1,48
Gandhi Bazar,6,,1020,6,1,370
Horamavu Agara,3,,1453,2,1,46.48
Sarjapur  Road,4,Adeatlm,3335,5,2,300
Bellandur,2,,1281,2,1,74
Cooke Town,1,,565,1,1,35
Varthur,2,DSingSt,1024,2,2,42
Electronic City,3,Suashen,1620,3,2,62
Whitefield,2,SSthamh,1254,2,2,40
Banashankari,3,Skave E,1300,2,2,75
Doddakallasandra,2,,1233,2,2,43
Gandhi Bazar,6,,1020,6,1,370
Hosur Road,3,PuendWe,1510,2,1,105
Kaggalipura,2,Baowsig,950,2,1,65
Battarahalli,3,PaontWa,1945,3,2,97.42
Uttarahalli,2,Shierhi,1008,2,3,45
Thanisandra,3,Bhmesy ,1265,2,1,79
Hebbal,3,Magiaya,1255,2,1,77.68
Kanakpura Road,4,PrityFa,2689,6,2,220
Yelenahalli,2,,1200,2,2,46.17
Sarjapur  Road,3,Daivon ,1403,3,3,51.63
Kudlu Gate,3,Srier P,1535,3,2,85
Gandhi Bazar,6,,1020,6,1,370
Chamrajpet,3,SihtsHe,1475,2,2,120
Uttarahalli,3,,1390,2,2,60.47
Raja Rajeshwari Nagar,3,,1278,2,1,53.76
